moisture,speed,screen,fmat,xWmmin,gamma,alpha,cdratio
0.2,6.5,12.7,0.782653809,0.029825376,0.107925415,0.968795776,0.246520996
0.2,6.5,19.05,0.820297241,0.013956394,0.235809326,0.544906616,0.738616943
0.4,6.5,12.7,0.851226807,0.000544052,0.251953125,0.496490479,0.75100708
0.4,6.5,19.05,0.513580322,0.081582671,0.184692383,0.351898193,0.468734741
0.2,8.2,12.7,0.829818726,0.041605043,0.129104614,0.151397705,0.986907959
0.2,8.2,19.05,0.22605896,0.002085175,0.283309937,0.956115723,0.975769043
0.4,8.2,12.7,0.591781616,0.028024857,0.139038086,0.56854248,0.311538696
0.4,8.2,19.05,0.3984375,0.175530095,0.19708252,0.855224609,0.738555908
0.2,9.8,12.7,0.774642944,0.06110558,0.098190308,0.803405762,0.508239746
0.2,9.8,19.05,0.578643799,0.144356701,0.094711304,0.194396973,0.124862671
0.4,9.8,12.7,0.558242798,0.090356387,0.175094604,0.827911377,0.667388916
0.4,9.8,19.05,0.370117188,0.254203625,0.16305542,0.370925903,0.940658569