FSieves,Feedmass
31,1
29.92,0.981379781
28.68,0.953335716
27.21,0.948558802
26.66,0.936860235
26.48,0.914178013
26.13,0.900659669
25.18,0.885126572
25.17,0.858187372
24.14,0.831118188
24.03,0.825496377
23.9,0.809930783
23.77,0.796704904
23.56,0.790303188
23.51,0.776232412
23.43,0.759399474
23.05,0.74669353
22.88,0.730867969
22.83,0.714522471
22.74,0.691450297
22.6,0.682546388
22.22,0.673902447
21.98,0.658434342
21.96,0.648913008
21.92,0.633509895
21.88,0.615832061
21.8,0.595457057
21.73,0.582783609
21.35,0.568810321
21.29,0.564358366
21.18,0.544763266
21.15,0.538199071
21.11,0.526468008
20.94,0.508692685
20.66,0.495499301
20.62,0.491989731
20.32,0.482078445
20.3,0.469502486
20.2,0.458551327
20.16,0.425242908
20.08,0.408832418
20,0.392876873
19.22,0.389172326
18.83,0.380528385
18.39,0.377928704
18.29,0.363565463
18.27,0.356481331
18.23,0.352289345
18.21,0.341695642
18.03,0.330257044
17.86,0.327169922
17.6,0.317941052
17.39,0.312546713
17.33,0.306794918
17.25,0.29665616
17.15,0.278328405
17.13,0.27069184
17.11,0.266792318
17.1,0.262827804
16.82,0.258310857
16.8,0.252461573
16.71,0.242680272
16.7,0.238293309
16.68,0.232346538
16.3,0.229194424
16.15,0.221785331
16.07,0.216553472
16.01,0.212199006
15.93,0.205699802
15.73,0.203295096
15.62,0.195138596
15.61,0.19175901
15.51,0.182920092
15.46,0.177005817
15.42,0.172683846
15.39,0.164559841
15.23,0.161440224
15.16,0.157898157
15.15,0.152308842
14.98,0.147824392
14.87,0.14489975
14.6,0.139505411
14.56,0.133753615
14.52,0.126507003
14.39,0.123907321
14.38,0.119617847
14.35,0.109349105
14.33,0.102817405
13.94,0.097455562
13.82,0.092743639
13.74,0.085659507
13.63,0.080557632
13.52,0.076788093
13.44,0.072856075
13.42,0.065771943
13.35,0.061482468
13.27,0.059435219
13.11,0.055828161
13.05,0.053455952
13.03,0.048061612
12.89,0.040847496
12.85,0.038312807
12.51,0.036070581
12.46,0.033243428
12.38,0.029343905
12.22,0.025606863
12.07,0.022747213
12.03,0.018002795
12,0.01657297
11.88,0.014103272
11.46,0.01355084
10.92,0.012121015
10.49,0.010561206
10.35,0.010106262
10.3,0.008448965
9.88,0.005556819
8.97,0.00350957
8.24,0.002469697
7.67,0.000584928
6.38,0